Class,Assertion roulette,Conditional test logic,Constructor initialization,Eager test,Empty test,Exception handling,Ignored tests,Unknown test,Total
NLPchina_nlp-lang.org.nlpcn.commons.lang.finger.SimHashService,0,0,0,0,0,0,0,0,0
NLPchina_nlp-lang.org.nlpcn.commons.lang.dat.DATMaker,0,0,0,0,0,0,0,1,1
NLPchina_nlp-lang.org.nlpcn.commons.lang.pinyin.Pinyin,0,0,0,0,0,0,0,2,2
NLPchina_nlp-lang.org.nlpcn.commons.lang.tire.domain.Forest,1,0,0,1,0,0,0,0,2
NLPchina_nlp-lang.org.nlpcn.commons.lang.tire.SmartGetWord,0,0,0,0,0,0,0,1,1
NLPchina_nlp-lang.org.nlpcn.commons.lang.tire.library.Library,0,0,0,0,0,0,0,0,0
prometheus_jmx_exporter.io.prometheus.jmx.JmxCollector,1,0,0,0,0,0,0,0,1
prometheus_jmx_exporter.io.prometheus.jmx.JmxMBeanPropertyCache,2,0,0,2,0,0,0,9,13
graphaware_neo4j-reco.com.graphaware.reco.neo4j.cypher.Statement,2,0,0,1,0,0,0,0,3
graphaware_neo4j-reco.com.graphaware.reco.neo4j.module.RecommendationModuleConfiguration,1,0,0,0,0,0,0,0,1
google_closure-compiler.java.util.regex.Matcher,1,0,0,0,0,0,0,0,1
SahaginOrg_sahagin-java.org.sahagin.share.AcceptableLocales,0,0,0,0,0,0,0,2,2
SahaginOrg_sahagin-java.org.sahagin.runlib.external.adapter.AdapterContainer,1,0,0,1,0,0,0,0,2
SahaginOrg_sahagin-java.org.sahagin.share.TestDocResolver,2,0,0,2,0,0,0,0,4
SahaginOrg_sahagin-java.org.sahagin.share.CommonUtils,1,0,0,0,0,0,0,0,1
SahaginOrg_sahagin-java.org.sahagin.share.runresults.RootMethodRunResult,0,0,0,0,0,0,0,0,0
SahaginOrg_sahagin-java.org.sahagin.share.srctree.SrcTree,0,0,0,0,0,0,0,0,0
SahaginOrg_sahagin-java.org.sahagin.runlib.external.TestStepLabelMethod,0,0,0,0,0,0,0,8,8
spotify_trickle.com.spotify.trickle.BindingDep,0,0,0,0,0,0,0,1,1
spotify_trickle.com.spotify.trickle.Input,3,0,0,2,0,1,0,7,13
spotify_trickle.com.spotify.trickle.Graph,3,0,0,1,0,3,0,8,15
spotify_trickle.com.spotify.trickle.NodeInfo,0,0,0,0,0,0,0,0,0
spotify_trickle.com.spotify.trickle.ConfigurableGraph,0,0,0,0,0,0,0,1,1
spotify_trickle.com.spotify.trickle.TraverseState,2,0,0,2,0,0,0,0,4
spotify_trickle.com.spotify.trickle.NodeExecutionFallback,2,0,0,0,0,2,0,0,4
