Repo,TotalTestabilitySmells,TestabilitySmellsDensity,TotalTests,TestDensity
CIRDLES_Topsoil,106,12.54,23,2.72
ShifuML_guagua,283,15.14,11,0.59
spring-projects_spring-integration-java-dsl,64,3.34,95,4.96
dobrynya_nomin,26,9.14,3,1.05
jmrozanec_cron-utils,480,42.53,539,47.76
basis-technology-corp_tcl-regex-java,5,1.72,73,25.06
GoogleCloudPlatform_bigdata-interop,574,15.32,1070,28.55
lucaspouzac_contiperf,40,8.54,72,15.38
pulsarIO_realtime-analytics,126,10.92,9,0.78
rejasupotaro_octodroid,39,24.09,9,5.56
SharedKnowledge_SharkFW,590,25.46,47,2.03
kishida_sqlparser,56,34.19,36,21.98
jcabi_jcabi-http,229,34.24,108,16.15
simon-heinen_SimpleUi,139,6.35,1,0.05
nemerosa_ontrack,68,4.02,230,13.59
bonigarcia_dualsub,146,37.32,17,4.35
RuedigerMoeller_kontraktor,292,7.70,120,3.17
google_domaintest,87,16.00,57,10.48
passy_scdl,113,19.73,54,9.43
jagornet_dhcp,249,8.50,66,2.25
iilab_PanicButton,65,9.70,101,15.08
holodeck-b2b_Holodeck-B2B,447,13.85,285,8.83
Netflix_aegisthus,66,16.44,4,1.00
subchen_jetbrick-template-2x,505,51.39,157,15.98
pilehvar_ADW,6,2.58,6,2.58
mozilla_MozStumbler,335,16.15,61,2.94
guardianproject_NetCipher,76,12.93,29,4.93
mcupak_beacon-of-beacons,33,6.55,42,8.33
oyachai_HearthSim,113,3.56,479,15.09
jlinn_quartz-redis-jobstore,13,2.35,66,11.95
damiencarol_jsr203-hadoop,25,9.49,74,28.09
LordH3lmchen_TwitchTools,11,2.61,3,0.71
nulab_backlog4j,12,0.79,139,9.11
TeamCohen_ProPPR,172,13.95,69,5.60
google_truth,1163,25.47,2961,64.86
serenity-bdd_serenity-demos,9,4.92,23,12.58
JetBrains_youtrack.mylyn.connector,61,7.48,1,0.12
abel533_ECharts,20,1.08,26,1.41
greenmail-mail-test_greenmail,161,10.26,162,10.32
pastekit_twist,42,7.80,84,15.59
buremba_rakam,85,7.39,50,4.35
Tillerino_Tillerinobot,87,6.70,234,18.01
emicklei_rendersnake,30,2.03,2,0.14
twotoasters_multi-column-list-adapter,5,12.41,4,9.93
opensciencemap_vtm,717,18.23,51,1.30
elastic_elasticsearch-river-couchdb,3,2.52,11,9.23
dbfit_dbfit,60,6.15,289,29.61
idok_jscs-plugin,15,17.58,4,4.69
elastic_elasticsearch-river-wikipedia,2,2.16,2,2.16
jkazama_ddd-java,26,8.21,14,4.42
bywan_trello-java-wrapper,81,17.83,87,19.15
englishtown_vertx-cassandra,62,17.65,64,18.22
Instagram_ig-json-parser,85,20.76,43,10.50
mbernste_machine-learning,20,3.31,1,0.17
vert-x3_codegen,633,24.83,393,15.42
pantsbuild_intellij-pants-plugin,97,7.62,12,0.94
socketIo4Netty_socketIo4j,40,13.87,60,20.81
