Repo,TotalTestabilitySmells,TotalTestSmells,LOC,NoOfTests,TyS_normalized, TS_normalized
jooby-project_jooby.io.jooby.MockRouter,3,4,370,3,8.108108108108109,1.3333333333333333
jooby-project_jooby.io.jooby.Context,6,2,883,3,6.795016987542469,0.6666666666666666
jooby-project_jooby.io.jooby.SslOptions,4,8,0,8,0,1.0
jooby-project_jooby.io.jooby.DefaultContext,36,0,442,4,81.44796380090497,0.0
jooby-project_jooby.io.jooby.StatusCode,120,2,0,2,0,1.0
jooby-project_jooby.io.jooby.ServerOptions,9,2,471,1,19.10828025477707,2.0
jooby-project_jooby.io.jooby.Cookie,1,7,440,4,2.272727272727273,1.75
jooby-project_jooby.io.jooby.WebSocket,3,4,164,2,18.29268292682927,2.0
jooby-project_jooby.io.jooby.Jooby,9,0,917,1,9.814612868047982,0.0
jooby-project_jooby.io.jooby.MediaType,23,12,0,7,0,1.7142857142857142
jooby-project_jooby.io.jooby.Body,1,0,99,2,10.1010101010101,0.0
jooby-project_jooby.io.jooby.Router,1,1,0,1,0,1.0
jooby-project_jooby.io.jooby.Value,1,29,406,20,2.4630541871921183,1.45
openhab_jmdns.javax.jmdns.JmDNS,1,40,251,24,3.9840637450199203,1.6666666666666667
openhab_jmdns.javax.jmdns.impl.ServiceInfoImpl,1,2,0,1,0,2.0
openhab_jmdns.javax.jmdns.impl.DNSMessage,2,4,249,2,8.032128514056225,2.0
openhab_jmdns.javax.jmdns.impl.DNSRecord,1,2,692,1,1.4450867052023122,2.0
openhab_jmdns.javax.jmdns.impl.util.ByteWrangler,5,2,138,3,36.231884057971016,0.6666666666666666
openhab_jmdns.javax.jmdns.impl.tasks.state.DNSStateTask,8,2,133,1,60.150375939849624,2.0
augustt198_lumen.me.august.lumen.compile.resolve.TypeVisitor,1,0,31,1,32.25806451612903,0.0
augustt198_lumen.me.august.lumen.compile.resolve.data.ClassData,1,4,147,2,6.802721088435374,2.0
augustt198_lumen.me.august.lumen.compile.resolve.convert.Conversions,1,2,100,2,10.0,1.0
augustt198_lumen.me.august.lumen.compile.parser.ast.expr.StaticField,2,2,28,1,71.42857142857143,2.0
augustt198_lumen.me.august.lumen.compile.parser.ast.expr.TernaryExpr,1,2,45,1,22.22222222222222,2.0
augustt198_lumen.me.august.lumen.compile.parser.ast.expr.OwnedExpr,1,1,16,1,62.5,1.0
augustt198_lumen.me.august.lumen.common.BytecodeUtil,3,5,0,4,0,1.25
Pragmatists_junitparams.junitparams.internal.TestMethod,2,5,87,4,22.988505747126435,1.25
wildfly-extras_wildfly-camel.org.wildfly.camel.catalog.CatalogCreator,1,3,214,2,4.672897196261682,1.5
wildfly-extras_wildfly-camel.org.wildfly.extension.camel.SpringCamelContextFactory,1,1,33,2,30.303030303030305,0.5
wildfly-extras_wildfly-camel.org.wildfly.camel.test.common.utils.AvailablePortFinder,2,6,124,14,16.129032258064516,0.42857142857142855
wildfly-extras_wildfly-camel.org.wildfly.camel.test.common.aws.AWSUtils,2,1,26,2,76.92307692307692,0.5
NLPchina_elasticsearch-sql.org.nlpcn.es4sql.parse.SqlParser,4,152,382,76,10.471204188481675,2.0
NLPchina_elasticsearch-sql.org.nlpcn.es4sql.query.ESActionFactory,5,12,0,12,0,1.0
